grupo_etario,entidad,sexo,nivel_educativo,conteo,porcentaje
12-17 años,Aguascalientes,Hombres,Bachillerato completo o equivalente (aprox. 3 años),5,9.433962264150944
12-17 años,Aguascalientes,Hombres,Bachillerato incompleto (1 a 2 años),17,32.075471698113205
12-17 años,Aguascalientes,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Aguascalientes,Hombres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Aguascalientes,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Aguascalientes,Hombres,No sabe/No contesta,1,1.8867924528301887
12-17 años,Aguascalientes,Hombres,Primaria completa (6 años),5,9.433962264150944
12-17 años,Aguascalientes,Hombres,Primaria incompleta (1 a 5 años),0,0.0
12-17 años,Aguascalientes,Hombres,Secundaria completa o equivalente (3 años),14,26.41509433962264
12-17 años,Aguascalientes,Hombres,Secundaria incompleta (1 a 2 años),11,20.754716981132077
12-17 años,Aguascalientes,Mujeres,Bachillerato completo o equivalente (aprox. 3 años),2,5.263157894736842
12-17 años,Aguascalientes,Mujeres,Bachillerato incompleto (1 a 2 años),12,31.57894736842105
12-17 años,Aguascalientes,Mujeres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Aguascalientes,Mujeres,Estudios Universitarios incompletos (1 a 3 años),0,0.0
12-17 años,Aguascalientes,Mujeres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Aguascalientes,Mujeres,No sabe/No contesta,0,0.0
12-17 años,Aguascalientes,Mujeres,Primaria completa (6 años),4,10.526315789473683
12-17 años,Aguascalientes,Mujeres,Primaria incompleta (1 a 5 años),1,2.631578947368421
12-17 años,Aguascalientes,Mujeres,Secundaria completa o equivalente (3 años),7,18.421052631578945
12-17 años,Aguascalientes,Mujeres,Secundaria incompleta (1 a 2 años),12,31.57894736842105
12-17 años,Baja California,Hombres,Bachillerato completo o equivalente (aprox. 3 años),10,9.900990099009901
12-17 años,Baja California,Hombres,Bachillerato incompleto (1 a 2 años),26,25.742574257425744
12-17 años,Baja California,Hombres,Estudios Universitarios completos (4 a 5 años),0,0.0
12-17 años,Baja California,Hombres,Estudios Universitarios incompletos (1 a 3 años),3,2.9702970297029703
12-17 años,Baja California,Hombres,Estudios de Posgrado (2 a 4 años),0,0.0
12-17 años,Baja California,Hombres,No sabe/No contesta,0,0.0
