region,sexo,grupo_etario,nivel_educativo,conteo,porcentaje
CDMX,Hombres,12-17 años,Bachillerato completo o equivalente (aprox. 3 años),11,13.095238095238097
CDMX,Hombres,12-17 años,Bachillerato incompleto (1 a 2 años),17,20.238095238095237
CDMX,Hombres,12-17 años,Estudios Universitarios completos (4 a 5 años),0,0.0
CDMX,Hombres,12-17 años,Estudios Universitarios incompletos (1 a 3 años),0,0.0
CDMX,Hombres,12-17 años,Estudios de Posgrado (2 a 4 años),0,0.0
CDMX,Hombres,12-17 años,No sabe/No contesta,0,0.0
CDMX,Hombres,12-17 años,Primaria completa (6 años),7,8.333333333333332
CDMX,Hombres,12-17 años,Primaria incompleta (1 a 5 años),0,0.0
CDMX,Hombres,12-17 años,Secundaria completa o equivalente (3 años),33,39.285714285714285
CDMX,Hombres,12-17 años,Secundaria incompleta (1 a 2 años),16,19.047619047619047
CDMX,Hombres,18-75 años,Bachillerato completo o equivalente (aprox. 3 años),92,20.309050772626932
CDMX,Hombres,18-75 años,Bachillerato incompleto (1 a 2 años),42,9.271523178807946
CDMX,Hombres,18-75 años,Estudios Universitarios completos (4 a 5 años),99,21.85430463576159
CDMX,Hombres,18-75 años,Estudios Universitarios incompletos (1 a 3 años),45,9.933774834437086
CDMX,Hombres,18-75 años,Estudios de Posgrado (2 a 4 años),21,4.635761589403973
CDMX,Hombres,18-75 años,No sabe/No contesta,0,0.0
CDMX,Hombres,18-75 años,Primaria completa (6 años),33,7.28476821192053
CDMX,Hombres,18-75 años,Primaria incompleta (1 a 5 años),12,2.6490066225165565
CDMX,Hombres,18-75 años,Secundaria completa o equivalente (3 años),92,20.309050772626932
CDMX,Hombres,18-75 años,Secundaria incompleta (1 a 2 años),17,3.7527593818984544
CDMX,Mujeres,12-17 años,Bachillerato completo o equivalente (aprox. 3 años),3,6.122448979591836
CDMX,Mujeres,12-17 años,Bachillerato incompleto (1 a 2 años),7,14.285714285714285
CDMX,Mujeres,12-17 años,Estudios Universitarios completos (4 a 5 años),0,0.0
CDMX,Mujeres,12-17 años,Estudios Universitarios incompletos (1 a 3 años),0,0.0
CDMX,Mujeres,12-17 años,Estudios de Posgrado (2 a 4 años),0,0.0
CDMX,Mujeres,12-17 años,No sabe/No contesta,0,0.0
CDMX,Mujeres,12-17 años,Primaria completa (6 años),7,14.285714285714285
CDMX,Mujeres,12-17 años,Primaria incompleta (1 a 5 años),0,0.0
CDMX,Mujeres,12-17 años,Secundaria completa o equivalente (3 años),16,32.6530612244898
CDMX,Mujeres,12-17 años,Secundaria incompleta (1 a 2 años),16,32.6530612244898
CDMX,Mujeres,18-75 años,Bachillerato completo o equivalente (aprox. 3 años),160,26.101141924959215
CDMX,Mujeres,18-75 años,Bachillerato incompleto (1 a 2 años),45,7.3409461663947795
CDMX,Mujeres,18-75 años,Estudios Universitarios completos (4 a 5 años),115,18.76019575856444
CDMX,Mujeres,18-75 años,Estudios Universitarios incompletos (1 a 3 años),33,5.383360522022838
CDMX,Mujeres,18-75 años,Estudios de Posgrado (2 a 4 años),32,5.220228384991843
CDMX,Mujeres,18-75 años,No sabe/No contesta,2,0.3262642740619902
CDMX,Mujeres,18-75 años,Primaria completa (6 años),64,10.440456769983687
CDMX,Mujeres,18-75 años,Primaria incompleta (1 a 5 años),33,5.383360522022838
CDMX,Mujeres,18-75 años,Secundaria completa o equivalente (3 años),106,17.29200652528548
CDMX,Mujeres,18-75 años,Secundaria incompleta (1 a 2 años),23,3.7520391517128875
Centro,Hombres,12-17 años,Bachillerato completo o equivalente (aprox. 3 años),41,6.810631229235881
Centro,Hombres,12-17 años,Bachillerato incompleto (1 a 2 años),137,22.757475083056477
Centro,Hombres,12-17 años,Estudios Universitarios completos (4 a 5 años),0,0.0
Centro,Hombres,12-17 años,Estudios Universitarios incompletos (1 a 3 años),3,0.4983388704318937
Centro,Hombres,12-17 años,Estudios de Posgrado (2 a 4 años),0,0.0
Centro,Hombres,12-17 años,No sabe/No contesta,0,0.0
Centro,Hombres,12-17 años,Primaria completa (6 años),69,11.461794019933555
Centro,Hombres,12-17 años,Primaria incompleta (1 a 5 años),8,1.3289036544850499
Centro,Hombres,12-17 años,Secundaria completa o equivalente (3 años),154,25.581395348837212
Centro,Hombres,12-17 años,Secundaria incompleta (1 a 2 años),190,31.561461794019934
Centro,Hombres,18-75 años,Bachillerato completo o equivalente (aprox. 3 años),342,17.72020725388601
Centro,Hombres,18-75 años,Bachillerato incompleto (1 a 2 años),134,6.94300518134715
Centro,Hombres,18-75 años,Estudios Universitarios completos (4 a 5 años),334,17.305699481865286
Centro,Hombres,18-75 años,Estudios Universitarios incompletos (1 a 3 años),134,6.94300518134715
Centro,Hombres,18-75 años,Estudios de Posgrado (2 a 4 años),48,2.4870466321243523
Centro,Hombres,18-75 años,No sabe/No contesta,5,0.2590673575129534
Centro,Hombres,18-75 años,Primaria completa (6 años),270,13.989637305699482
